Entidad federal,"Superficie
km²",Población est.,"Densidad
(hab./km²)"
Zulia,63 100,4 957 765,78.56
Miranda,7950,3 739 845,470.42
Carabobo,4650,2 886 093,620.66
Distrito Capital,433,2 277 972,5260.9
Lara,19 800,2 234 763,121.86
Aragua,7014,2 228 130,317.71
Anzoátegui,43 300,2 103 856,48.58
Bolívar,240 528,2 069 064,8.6
Táchira,11 100,1 376 292,123.99
Falcón,24 800,1 137 324,45.85
Sucre,11 800,1 117 917,94.73
Monagas,28 930,1 112 541,38.45
Portuguesa,15 200,1 078 934,70.98
Barinas,35 200,1 063 351,30.2
Mérida,11 300,1 018 219,90.1
Guárico,64 986,956 951,14.72
Trujillo,7400,893 785,"120,78"
Yaracuy,7100,785 125,110.58
Nueva Esparta,1150,606 247,527.17
Apure,76 500,603 295,7.88
Cojedes,14 800,502 107,33.92
La Guaira,1497,448 894,299.86
Delta Amacuro,40 200,240 268,5.97
Amazonas,177 617,189 524,1.06
Dependencias Federales,342,65002​,19